Z,N1,M1,N3,M3,N5,M5
2175,6.87E-06,4.96E-06,2.03E-06,1.22E-06,1.88E-06,1.22E-06
2182.5,6.49E-06,4.95E-06,2.09E-06,1.22E-06,2.01E-06,1.22E-06
2190,6.68E-06,4.95E-06,2.07E-06,1.22E-06,1.84E-06,1.22E-06
2197.5,6.68E-06,4.94E-06,2.09E-06,1.22E-06,1.94E-06,1.22E-06
2205,6.49E-06,4.93E-06,2.01E-06,1.22E-06,2.00E-06,1.22E-06
2212.5,6.60E-06,4.92E-06,2.04E-06,1.22E-06,2.17E-06,1.22E-06
2220,6.55E-06,4.91E-06,1.98E-06,1.22E-06,1.84E-06,1.22E-06
2227.5,6.34E-06,4.91E-06,1.90E-06,1.22E-06,1.97E-06,1.22E-06
2235,6.39E-06,4.90E-06,2.05E-06,1.22E-06,1.66E-06,1.22E-06
2242.5,6.33E-06,4.89E-06,2.10E-06,1.21E-06,1.94E-06,1.21E-06
2250,6.35E-06,4.88E-06,2.03E-06,1.21E-06,1.83E-06,1.21E-06
2257.5,6.37E-06,4.88E-06,2.00E-06,1.21E-06,2.09E-06,1.21E-06
2265,6.01E-06,4.87E-06,1.99E-06,1.21E-06,2.10E-06,1.21E-06
2272.5,6.08E-06,4.86E-06,2.05E-06,1.21E-06,2.07E-06,1.21E-06
2280,6.28E-06,4.85E-06,1.93E-06,1.21E-06,1.76E-06,1.21E-06
2287.5,6.41E-06,4.84E-06,2.04E-06,1.21E-06,1.97E-06,1.21E-06
2295,6.37E-06,4.84E-06,1.95E-06,1.21E-06,2.08E-06,1.21E-06
2302.5,6.19E-06,4.83E-06,2.03E-06,1.21E-06,1.80E-06,1.21E-06
2310,6.02E-06,4.82E-06,2.02E-06,1.20E-06,2.05E-06,1.20E-06
2317.5,6.48E-06,4.81E-06,1.97E-06,1.20E-06,1.99E-06,1.20E-06
2325,6.13E-06,4.81E-06,1.94E-06,1.20E-06,1.58E-06,1.20E-06
2332.5,6.27E-06,4.80E-06,1.92E-06,1.20E-06,1.72E-06,1.20E-06
